"","UST.10Y","SP500"
"1963-02-25",0.04,-0.0160633852516925
"1963-03-04",-0.0299999999999998,-0.0113689963227981
"1963-03-11",0,0.0121325299935487
"1963-03-18",0,0.00152532061300112
"1963-03-25",0.02,0.00910338557996857
"1963-04-01",0.00999999999999979,0.00961979461119753
"1963-04-08",0.02,0.024674369907967
"1963-04-15",0.0399999999999996,0.00828432904478457
"1963-04-22",-0.0399999999999996,0.00303490369515389
"1963-04-29",-0.02,0.0050377940299573
"1963-05-06",-0.0299999999999998,-0.00172438611488831
"1963-05-13",0,0.0135706675169976
"1963-05-20",0.00999999999999979,-0.00740533147752293
"1963-05-27",0.02,-0.00128727758604189
"1963-06-03",0.0300000000000002,0.0116677476185034
"1963-06-10",0.00999999999999979,-0.0106663885476329
"1963-06-17",0.00999999999999979,0
"1963-06-24",0,0.00371057939653577
"1963-07-01",0.00999999999999979,-0.0192728531213877
"1963-07-08",0.04,0.0126985833371273
"1963-07-15",-0.0299999999999994,-0.00777317862388107
"1963-07-22",0,-0.0189648280589734
"1963-07-29",-0.0300000000000002,0.0112763880679345
"1963-08-05",0,0.0150313568657222
"1963-08-12",0.0199999999999996,0.0125447119090737
"1963-08-19",-0.0199999999999996,0.0119694451608627
"1963-08-26",0.00999999999999979,0.00655740054615904
"1963-08-30",0.0200000000000005,0.00817122474622638
"1963-09-09",0.0699999999999994,0.00110283992429518
"1963-09-16",0,0.006728484018202
"1963-09-23",-0.0199999999999996,-0.00150654003705055
"1963-09-30",0,-0.0174205981605011
"1963-10-07",0.00999999999999979,0.0138506369338989
"1963-10-14",0.0200000000000005,-0.00551725537475474
"1963-10-21",0.0199999999999996,0.0148272897624169
"1963-10-28",0,0.0148792140416759
"1963-11-04",0.0300000000000002,-0.0139257303489254
"1963-11-08",0.00999999999999979,-0.00122607467167696
"1963-11-18",-0.0499999999999998,-0.0210766118614992
"1963-11-22",-0.0200000000000005,-0.0313939809061351
"1963-12-02",0,0.056551675836344
"1963-12-09",0.0100000000000007,0.00406449550200493
"1963-12-16",0.0499999999999998,0.00458654520478935
"1963-12-23",0,-0.00661672794175241
"1963-12-30",-0.00999999999999979,0.0101099465953748
"1964-01-06",0.0199999999999996,0.0147776103290945
"1964-01-13",0.0200000000000005,0.00724211473928393
"1964-01-20",-0.0200000000000005,0.00248968221376121
"1964-01-27",0.0200000000000005,0.00873026588669027
"1964-02-03",-0.0300000000000002,-0.00142810799993955
"1964-02-10",-0.00999999999999979,0.00103882621989865
"1964-02-17",-0.0100000000000007,0.00530711232048136
"1964-02-24",0.0200000000000005,0.00283614989646351
"1964-03-02",0.0199999999999996,0.00372631333843903
